pedido_id,data_pedido,atrasou,probabilidade_atraso,previsao
PED000961,2025-07-12,1,0.462331244131692,0
PED000962,2025-07-12,0,0.22680265473414346,0
PED000963,2025-07-12,1,0.286047914830429,0
PED000964,2025-07-12,0,0.6032624023263817,1
PED000965,2025-07-12,1,0.5755147966074795,1
PED000966,2025-07-13,0,0.2518529878067933,0
PED000967,2025-07-13,0,0.789531282164892,1
PED000968,2025-07-13,0,0.22001430799246244,0
PED000969,2025-07-13,1,0.6615604391185366,1
PED000970,2025-07-13,0,0.07111145381835553,0
PED000971,2025-07-14,1,0.6765610588932849,1
PED000972,2025-07-14,1,0.7661629877925293,1
PED000973,2025-07-14,0,0.8345534810848134,1
PED000974,2025-07-14,0,0.34916452301566003,0
PED000975,2025-07-14,1,0.4769820487057661,0
PED000976,2025-07-15,0,0.21264250104339577,0
PED000977,2025-07-15,0,0.6243576538558224,1
PED000978,2025-07-15,1,0.6359693852105249,1
PED000979,2025-07-15,1,0.8849708855007676,1
PED000980,2025-07-15,1,0.3313602718225439,0
PED000981,2025-07-16,0,0.13440268060961272,0
PED000982,2025-07-16,1,0.45685976271547046,0
PED000983,2025-07-16,0,0.16535458230768352,0
PED000984,2025-07-16,1,0.14844266005499218,0
PED000985,2025-07-16,1,0.4324627808769046,0
PED000986,2025-07-17,0,0.5383443688870824,1
PED000987,2025-07-17,1,0.13565712101702004,0
PED000988,2025-07-17,1,0.08679181958637655,0
PED000989,2025-07-17,0,0.0418796607623119,0
PED000990,2025-07-17,1,0.8645685507838833,1
PED000991,2025-07-18,0,0.567504844129863,1
PED000992,2025-07-18,0,0.1028397921721685,0
PED000993,2025-07-18,0,0.06103298271942802,0
PED000994,2025-07-18,1,0.4711113355893256,0
PED000995,2025-07-18,0,0.1231361388178761,0
PED000996,2025-07-19,1,0.3322304409996214,0
PED000997,2025-07-19,1,0.41561384826962733,0
PED000998,2025-07-19,1,0.7948326129944325,1
PED000999,2025-07-19,1,0.39979748057094766,0
PED001000,2025-07-19,1,0.3935979716860756,0
PED001001,2025-07-20,1,0.06271571589575044,0
PED001002,2025-07-20,1,0.8304571481912997,1
PED001003,2025-07-20,1,0.8368890387194284,1
PED001004,2025-07-20,1,0.7865239666629416,1
PED001005,2025-07-20,1,0.11525250456908186,0
PED001006,2025-07-21,1,0.481394327918743,0
PED001007,2025-07-21,1,0.7483665029946193,1
PED001008,2025-07-21,1,0.7576870157958123,1
PED001009,2025-07-21,0,0.1601293469188861,0
PED001010,2025-07-21,0,0.46900053442576095,0
PED001011,2025-07-22,0,0.21316061604828135,0
